camera,payload,payload_bytes,stage,bytes_per_frame,stage_factor,cumulative_efficiency
good_handheld,text-1024KB,1048576,raw cell bits on screen,12150.000,1.000000,1.000000
good_handheld,text-1024KB,1048576,fiducials + margin,8991.000,0.740000,0.740000
good_handheld,text-1024KB,1048576,calibration strip,8910.000,0.990991,0.733333
good_handheld,text-1024KB,1048576,header band,8748.000,0.981818,0.720000
good_handheld,text-1024KB,1048576,bit-packing remainder,8748.000,1.000000,0.720000
good_handheld,text-1024KB,1048576,frames dropped on CRC,8748.000,1.000000,0.720000
good_handheld,text-1024KB,1048576,RaptorQ FEC payload id,8744.000,0.999543,0.719671
good_handheld,text-1024KB,1048576,fountain surplus packets,8744.000,1.000000,0.719671
good_handheld,text-1024KB,1048576,symbol padding,8553.159,0.978175,0.703964
good_handheld,text-1024KB,1048576,gzip gain -> file bytes,23831.273,2.786254,1.961422
webcam_handheld,text-1024KB,1048576,raw cell bits on screen,12150.000,1.000000,1.000000
webcam_handheld,text-1024KB,1048576,fiducials + margin,8991.000,0.740000,0.740000
webcam_handheld,text-1024KB,1048576,calibration strip,8910.000,0.990991,0.733333
webcam_handheld,text-1024KB,1048576,header band,8748.000,0.981818,0.720000
webcam_handheld,text-1024KB,1048576,bit-packing remainder,8748.000,1.000000,0.720000
webcam_handheld,text-1024KB,1048576,frames dropped on CRC,8748.000,1.000000,0.720000
webcam_handheld,text-1024KB,1048576,RaptorQ FEC payload id,8744.000,0.999543,0.719671
webcam_handheld,text-1024KB,1048576,fountain surplus packets,8744.000,1.000000,0.719671
webcam_handheld,text-1024KB,1048576,symbol padding,8553.159,0.978175,0.703964
webcam_handheld,text-1024KB,1048576,gzip gain -> file bytes,23831.273,2.786254,1.961422
potato_handheld,text-1024KB,1048576,raw cell bits on screen,1944.000,1.000000,1.000000
potato_handheld,text-1024KB,1048576,fiducials + margin,1276.125,0.656443,0.656443
potato_handheld,text-1024KB,1048576,calibration strip,1245.000,0.975610,0.640432
potato_handheld,text-1024KB,1048576,header band,1182.750,0.950000,0.608410
potato_handheld,text-1024KB,1048576,bit-packing remainder,1182.000,0.999366,0.608025
potato_handheld,text-1024KB,1048576,frames dropped on CRC,1182.000,1.000000,0.608025
potato_handheld,text-1024KB,1048576,RaptorQ FEC payload id,1178.000,0.996616,0.605967
potato_handheld,text-1024KB,1048576,fountain surplus packets,1178.000,1.000000,0.605967
potato_handheld,text-1024KB,1048576,symbol padding,1176.059,0.998353,0.604969
potato_handheld,text-1024KB,1048576,gzip gain -> file bytes,3276.800,2.786254,1.685597
webcam+tear/3,text-1024KB,1048576,raw cell bits on screen,12150.000,1.000000,1.000000
webcam+tear/3,text-1024KB,1048576,fiducials + margin,8991.000,0.740000,0.740000
webcam+tear/3,text-1024KB,1048576,calibration strip,8910.000,0.990991,0.733333
webcam+tear/3,text-1024KB,1048576,header band,8748.000,0.981818,0.720000
webcam+tear/3,text-1024KB,1048576,bit-packing remainder,8748.000,1.000000,0.720000
webcam+tear/3,text-1024KB,1048576,frames dropped on CRC,6014.250,0.687500,0.495000
webcam+tear/3,text-1024KB,1048576,RaptorQ FEC payload id,6011.500,0.999543,0.494774
webcam+tear/3,text-1024KB,1048576,fountain surplus packets,6011.500,1.000000,0.494774
webcam+tear/3,text-1024KB,1048576,symbol padding,5880.297,0.978175,0.483975
webcam+tear/3,text-1024KB,1048576,gzip gain -> file bytes,16384.000,2.786254,1.348477
good_handheld,blob-1024KB,1048576,raw cell bits on screen,12150.000,1.000000,1.000000
good_handheld,blob-1024KB,1048576,fiducials + margin,8991.000,0.740000,0.740000
good_handheld,blob-1024KB,1048576,calibration strip,8910.000,0.990991,0.733333
good_handheld,blob-1024KB,1048576,header band,8748.000,0.981818,0.720000
good_handheld,blob-1024KB,1048576,bit-packing remainder,8748.000,1.000000,0.720000
good_handheld,blob-1024KB,1048576,frames dropped on CRC,8748.000,1.000000,0.720000
good_handheld,blob-1024KB,1048576,RaptorQ FEC payload id,8744.000,0.999543,0.719671
good_handheld,blob-1024KB,1048576,fountain surplus packets,8744.000,1.000000,0.719671
good_handheld,blob-1024KB,1048576,symbol padding,8740.233,0.999569,0.719361
good_handheld,blob-1024KB,1048576,gzip gain -> file bytes,8738.133,0.999760,0.719188
webcam_handheld,blob-1024KB,1048576,raw cell bits on screen,12150.000,1.000000,1.000000
webcam_handheld,blob-1024KB,1048576,fiducials + margin,8991.000,0.740000,0.740000
webcam_handheld,blob-1024KB,1048576,calibration strip,8910.000,0.990991,0.733333
webcam_handheld,blob-1024KB,1048576,header band,8748.000,0.981818,0.720000
webcam_handheld,blob-1024KB,1048576,bit-packing remainder,8748.000,1.000000,0.720000
webcam_handheld,blob-1024KB,1048576,frames dropped on CRC,8604.590,0.983607,0.708197
webcam_handheld,blob-1024KB,1048576,RaptorQ FEC payload id,8600.656,0.999543,0.707873
webcam_handheld,blob-1024KB,1048576,fountain surplus packets,8600.656,1.000000,0.707873
webcam_handheld,blob-1024KB,1048576,symbol padding,8596.951,0.999569,0.707568
webcam_handheld,blob-1024KB,1048576,gzip gain -> file bytes,8594.885,0.999760,0.707398
potato_handheld,blob-1024KB,1048576,raw cell bits on screen,1944.000,1.000000,1.000000
potato_handheld,blob-1024KB,1048576,fiducials + margin,1276.125,0.656443,0.656443
potato_handheld,blob-1024KB,1048576,calibration strip,1245.000,0.975610,0.640432
