channel,palette,bits,cell_px,bytes_per_frame,ser
ideal,P2,1,6,6956,0.000000e0
ideal,P2,1,8,3867,0.000000e0
ideal,P2,1,10,2446,0.000000e0
ideal,P2,1,14,1215,0.000000e0
ideal,P2,1,20,575,0.000000e0
ideal,P4,2,6,13912,0.000000e0
ideal,P4,2,8,7735,0.000000e0
ideal,P4,2,10,4892,0.000000e0
ideal,P4,2,14,2430,0.000000e0
ideal,P4,2,20,1151,0.000000e0
ideal,P8,3,6,20868,0.000000e0
ideal,P8,3,8,11602,0.000000e0
ideal,P8,3,10,7338,0.000000e0
ideal,P8,3,14,3645,0.000000e0
ideal,P8,3,20,1727,0.000000e0
good,P2,1,6,6956,0.000000e0
good,P2,1,8,3867,0.000000e0
good,P2,1,10,2446,0.000000e0
good,P2,1,14,1215,0.000000e0
good,P2,1,20,575,0.000000e0
good,P4,2,6,13912,0.000000e0
good,P4,2,8,7735,0.000000e0
good,P4,2,10,4892,0.000000e0
good,P4,2,14,2430,0.000000e0
good,P4,2,20,1151,0.000000e0
good,P8,3,6,20868,0.000000e0
good,P8,3,8,11602,0.000000e0
good,P8,3,10,7338,0.000000e0
good,P8,3,14,3645,0.000000e0
good,P8,3,20,1727,0.000000e0
webcam,P2,1,6,6956,0.000000e0
webcam,P2,1,8,3867,0.000000e0
webcam,P2,1,10,2446,0.000000e0
webcam,P2,1,14,1215,0.000000e0
webcam,P2,1,20,575,0.000000e0
webcam,P4,2,6,13912,3.479011e-2
webcam,P4,2,8,7735,0.000000e0
webcam,P4,2,10,4892,0.000000e0
webcam,P4,2,14,2430,0.000000e0
webcam,P4,2,20,1151,0.000000e0
webcam,P8,3,6,20868,4.593157e-2
webcam,P8,3,8,11602,0.000000e0
webcam,P8,3,10,7338,0.000000e0
webcam,P8,3,14,3645,0.000000e0
webcam,P8,3,20,1727,0.000000e0
potato,P2,1,6,6956,2.686170e-1
potato,P2,1,8,3867,1.616240e-4
potato,P2,1,10,2446,6.030253e-3
potato,P2,1,14,1215,0.000000e0
potato,P2,1,20,575,0.000000e0
potato,P4,2,6,13912,6.313974e-1
potato,P4,2,8,7735,5.517130e-2
potato,P4,2,10,4892,8.723426e-2
potato,P4,2,14,2430,0.000000e0
potato,P4,2,20,1151,0.000000e0
potato,P8,3,6,20868,7.149224e-1
potato,P8,3,8,11602,8.552313e-2
potato,P8,3,10,7338,1.463103e-1
potato,P8,3,14,3645,0.000000e0
potato,P8,3,20,1727,0.000000e0
