chunk_bytes,capacity_bytes,symbol_bytes,source_symbols_k,drop_pct,trials,mean_packets_used,max_packets_used,overhead_pct,trials_decoded_at_exactly_k,mean_frames_sent,decode_ms,decode_us_per_kb
65536,3927,3923,17,0,50,17.00,17,0.0000,50,17.0,0.008,0.12
65536,3927,3923,17,10,50,17.00,17,0.0000,50,18.6,0.072,1.12
65536,3927,3923,17,20,50,17.00,17,0.0000,50,21.6,0.085,1.33
65536,3927,3923,17,30,50,17.00,17,0.0000,50,24.4,0.087,1.36
65536,3927,3923,17,40,50,17.00,17,0.0000,50,27.9,0.087,1.35
65536,3927,3923,17,50,50,17.02,18,0.1176,49,33.4,0.089,1.39
65536,3927,3923,17,60,50,17.02,18,0.1176,49,41.3,0.089,1.39
65536,3927,3923,17,70,50,17.00,17,0.0000,50,59.1,0.090,1.41
65536,7854,7850,9,0,50,9.00,9,0.0000,50,9.0,0.005,0.08
65536,7854,7850,9,10,50,9.00,9,0.0000,50,9.9,0.055,0.86
65536,7854,7850,9,20,50,9.00,9,0.0000,50,11.0,0.074,1.16
65536,7854,7850,9,30,50,9.02,10,0.2222,49,12.8,0.081,1.26
65536,7854,7850,9,40,50,9.00,9,0.0000,50,14.8,0.090,1.40
65536,7854,7850,9,50,50,9.00,9,0.0000,50,17.0,0.090,1.41
65536,7854,7850,9,60,50,9.00,9,0.0000,50,21.0,0.092,1.44
65536,7854,7850,9,70,50,9.00,9,0.0000,50,30.8,0.095,1.48
65536,11781,11777,6,0,50,6.00,6,0.0000,50,6.0,0.006,0.10
65536,11781,11777,6,10,50,6.00,6,0.0000,50,6.8,0.080,1.24
65536,11781,11777,6,20,50,6.00,6,0.0000,50,7.6,0.099,1.54
65536,11781,11777,6,30,50,6.00,6,0.0000,50,9.1,0.114,1.77
65536,11781,11777,6,40,50,6.00,6,0.0000,50,9.7,0.114,1.79
65536,11781,11777,6,50,50,6.00,6,0.0000,50,12.0,0.126,1.97
65536,11781,11777,6,60,50,6.00,6,0.0000,50,15.6,0.130,2.03
65536,11781,11777,6,70,50,6.00,6,0.0000,50,19.6,0.126,1.97
262144,3927,3923,67,0,50,67.00,67,0.0000,50,67.0,0.021,0.08
262144,3927,3923,67,10,50,67.00,67,0.0000,50,74.2,0.257,1.00
262144,3927,3923,67,20,50,67.00,67,0.0000,50,83.9,0.258,1.01
262144,3927,3923,67,30,50,67.00,67,0.0000,50,94.7,0.260,1.02
262144,3927,3923,67,40,50,67.00,67,0.0000,50,112.3,0.270,1.05
262144,3927,3923,67,50,50,67.00,67,0.0000,50,136.8,0.277,1.08
262144,3927,3923,67,60,50,67.00,67,0.0000,50,166.0,0.283,1.11
262144,3927,3923,67,70,50,67.02,68,0.0299,49,220.8,0.289,1.13
262144,7854,7850,34,0,50,34.00,34,0.0000,50,34.0,0.018,0.07
262144,7854,7850,34,10,50,34.00,34,0.0000,50,37.5,0.254,0.99
262144,7854,7850,34,20,50,34.02,35,0.0588,49,43.1,0.271,1.06
262144,7854,7850,34,30,50,34.00,34,0.0000,50,47.2,0.270,1.05
262144,7854,7850,34,40,50,34.00,34,0.0000,50,56.6,0.273,1.06
262144,7854,7850,34,50,50,34.00,34,0.0000,50,68.6,0.280,1.09
262144,7854,7850,34,60,50,34.00,34,0.0000,50,86.2,0.282,1.10
262144,7854,7850,34,70,50,34.00,34,0.0000,50,114.4,0.283,1.11
262144,11781,11777,23,0,50,23.00,23,0.0000,50,23.0,0.018,0.07
262144,11781,11777,23,10,50,23.04,24,0.1739,48,25.3,0.273,1.06
262144,11781,11777,23,20,50,23.00,23,0.0000,50,29.1,0.286,1.12
262144,11781,11777,23,30,50,23.00,23,0.0000,50,32.4,0.290,1.13
262144,11781,11777,23,40,50,23.00,23,0.0000,50,38.0,0.295,1.15
262144,11781,11777,23,50,50,23.00,23,0.0000,50,45.4,0.300,1.17
262144,11781,11777,23,60,50,23.00,23,0.0000,50,56.8,0.306,1.19
262144,11781,11777,23,70,50,23.00,23,0.0000,50,79.5,0.311,1.21
1048576,3927,3923,268,0,50,268.00,268,0.0000,50,268.0,0.089,0.09
1048576,3927,3923,268,10,50,268.00,268,0.0000,50,297.8,1.043,1.02
1048576,3927,3923,268,20,50,268.00,268,0.0000,50,336.3,1.053,1.03
1048576,3927,3923,268,30,50,268.00,268,0.0000,50,383.1,1.067,1.04
1048576,3927,3923,268,40,50,268.02,269,0.0075,49,444.1,1.075,1.05
1048576,3927,3923,268,50,50,268.04,269,0.0149,48,532.2,1.117,1.09
1048576,3927,3923,268,60,50,268.00,268,0.0000,50,666.7,1.166,1.14
1048576,3927,3923,268,70,50,268.00,268,0.0000,50,882.9,1.200,1.17
1048576,7854,7850,134,0,50,134.00,134,0.0000,50,134.0,0.084,0.08
1048576,7854,7850,134,10,50,134.00,134,0.0000,50,148.7,0.946,0.92
1048576,7854,7850,134,20,50,134.00,134,0.0000,50,168.7,0.955,0.93
1048576,7854,7850,134,30,50,134.00,134,0.0000,50,189.1,0.942,0.92
1048576,7854,7850,134,40,50,134.00,134,0.0000,50,221.4,0.960,0.94
1048576,7854,7850,134,50,50,134.00,134,0.0000,50,263.2,0.999,0.98
1048576,7854,7850,134,60,50,134.00,134,0.0000,50,333.9,1.040,1.02
1048576,7854,7850,134,70,50,134.00,134,0.0000,50,441.2,1.038,1.01
1048576,11781,11777,90,0,50,90.00,90,0.0000,50,90.0,0.075,0.07
1048576,11781,11777,90,10,50,90.00,90,0.0000,50,98.5,0.858,0.84
1048576,11781,11777,90,20,50,90.02,91,0.0222,49,113.1,0.882,0.86
1048576,11781,11777,90,30,50,90.00,90,0.0000,50,128.4,0.893,0.87
1048576,11781,11777,90,40,50,90.00,90,0.0000,50,149.2,0.909,0.89
1048576,11781,11777,90,50,50,90.00,90,0.0000,50,180.1,0.929,0.91
1048576,11781,11777,90,60,50,90.00,90,0.0000,50,224.5,0.946,0.92
1048576,11781,11777,90,70,50,90.00,90,0.0000,50,301.9,0.976,0.95
