channel,palette,bits,cell_px,bytes_per_frame,ser,fiducial_rms_px
good+warp,P2,1,6,5220,0.000000e0,1.083
good+warp,P2,1,8,2916,0.000000e0,1.095
good+warp,P2,1,10,1763,0.000000e0,0.910
good+warp,P2,1,14,811,0.000000e0,0.884
good+warp,P2,1,20,394,0.000000e0,0.891
good+warp,P4,2,6,10440,4.789272e-5,1.082
good+warp,P4,2,8,5832,0.000000e0,1.093
good+warp,P4,2,10,3527,0.000000e0,0.889
good+warp,P4,2,14,1622,0.000000e0,0.893
good+warp,P4,2,20,788,0.000000e0,0.893
good+warp,P8,3,6,15660,1.436782e-4,1.084
good+warp,P8,3,8,8748,0.000000e0,1.084
good+warp,P8,3,10,5291,0.000000e0,0.882
good+warp,P8,3,14,2433,0.000000e0,0.893
good+warp,P8,3,20,1182,0.000000e0,0.897
webcam+warp,P2,1,6,5220,2.969349e-3,0.730
webcam+warp,P2,1,8,2916,0.000000e0,0.742
webcam+warp,P2,1,10,1763,0.000000e0,1.046
webcam+warp,P2,1,14,811,0.000000e0,1.083
webcam+warp,P2,1,20,394,0.000000e0,1.066
webcam+warp,P4,2,6,10440,9.913793e-2,0.729
webcam+warp,P4,2,8,5832,0.000000e0,0.740
webcam+warp,P4,2,10,3527,0.000000e0,1.046
webcam+warp,P4,2,14,1622,0.000000e0,1.062
webcam+warp,P4,2,20,788,0.000000e0,1.063
webcam+warp,P8,3,6,15660,1.641284e-1,0.733
webcam+warp,P8,3,8,8748,0.000000e0,0.737
webcam+warp,P8,3,10,5291,0.000000e0,1.045
webcam+warp,P8,3,14,2433,0.000000e0,1.062
webcam+warp,P8,3,20,1182,0.000000e0,1.086
potato+warp,P2,1,6,5220,5.035920e-1,2.674
potato+warp,P2,1,8,2916,1.950446e-1,2.706
potato+warp,P2,1,10,1763,5.849404e-2,1.502
potato+warp,P2,1,14,811,0.000000e0,2.017
potato+warp,P2,1,20,394,0.000000e0,2.015
potato+warp,P4,2,6,10440,7.513889e-1,2.645
potato+warp,P4,2,8,5832,7.472994e-1,2.690
potato+warp,P4,2,10,3527,2.366033e-1,1.446
potato+warp,P4,2,14,1622,1.880395e-2,2.019
potato+warp,P4,2,20,788,0.000000e0,2.022
potato+warp,P8,3,6,15660,8.740421e-1,2.683
potato+warp,P8,3,8,8748,8.732853e-1,2.686
potato+warp,P8,3,10,5291,3.318214e-1,1.430
potato+warp,P8,3,14,2433,2.604809e-2,2.021
potato+warp,P8,3,20,1182,0.000000e0,2.026
